part,kit,concentration
pYTK002,MoClo-YTK,63
pYTK003,MoClo-YTK,131
pYTK008,MoClo-YTK,92
pYTK009,MoClo-YTK,27
pYTK011,MoClo-YTK,14
pYTK017,MoClo-YTK,266
pYTK030,MoClo-YTK,27
pYTK031,MoClo-YTK,81
pYTK032,MoClo-YTK,
pYTK033,MoClo-YTK,161
pYTK034,MoClo-YTK,141
pYTK047,MoClo-YTK,48
pYTK055,MoClo-YTK,151
pYTK065,MoClo-YTK,215
pYTK067,MoClo-YTK,178
pYTK072,MoClo-YTK,159
pYTK073,MoClo-YTK,148
pYTK074,MoClo-YTK,37
pYTK075,MoClo-YTK,248
pYTK078,MoClo-YTK,43
pYTK080,MoClo-YTK,51
pYTK086,MoClo-YTK,26
pYTK087,MoClo-YTK,209
pYTK088,MoClo-YTK,126
pYTK089,MoClo-YTK,249
pYTK090,MoClo-YTK,107
pYTK092,MoClo-YTK,14
pYTK093,MoClo-YTK,149
pYTK094,MoClo-YTK,180
pYTK095,MoClo-YTK,178
pRO111,test,302
pRO112,test,149
pRO113,test,135
pRO117,test,35
pRO129,test,73
pRO131,test,25
pRO135,test,23
pRO140,test,31
pRO141,test,29
pYTK012,test,51
pYTK019,test,157
pYTK023,test,85
pYTK027,test,184
pRO166,test,71
pRO167,test,259
pRO168,test,111
pRO169,test,220
pYTK052,test,110
pYTK062,test,119
pYTK061,test,118
pYTK013,test,108
pYTK068,test,16
pYTK004,test,12
